control_id,title,page,chapter,profile_scope,level,automated,status_impl,status_tested,status_validated,notes
1.1.1.1,Ensure cramfs kernel module is not available (Automated),24,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.1.1.2,Ensure freevxfs kernel module is not available (Automated),27,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.1.1.3,Ensure hfs kernel module is not available (Automated),30,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.1.1.4,Ensure hfsplus kernel module is not available (Automated),33,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.1.1.5,Ensure jffs2 kernel module is not available (Automated),36,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.1.1.6,Ensure overlay kernel module is not available (Automated),39,1,Server:Level 2;Workstation:Level 2,Level 2,Automated,OK,OK,,
1.1.1.7,Ensure squashfs kernel module is not available (Automated),42,1,Server:Level 2;Workstation:Level 2,Level 2,Automated,OK,OK,,
1.1.1.8,Ensure udf kernel module is not available (Automated),45,1,Server:Level 2;Workstation:Level 2,Level 2,Automated,OK,OK,,
1.1.1.9,Ensure firewire-core kernel module is not available (Automated),48,1,Server:Level 1;Workstation:Level 2,Level 1,Automated,OK,OK,,
1.1.1.10,Ensure usb-storage kernel module is not available (Automated),51,1,Server:Level 1;Workstation:Level 2,Level 1,Automated,OK,OK,,
1.1.1.11,Ensure unused filesystems kernel modules are not available (Manual),55,1,Server:Level 1;Workstation:Level 1,Level 1,Manual,OK,OK,,
1.1.2.1.1,Ensure /tmp is tmpfs or a separate partition (Automated),64,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.1.2.1.2,Ensure nodev option set on /tmp partition (Automated),67,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.1.2.1.3,Ensure nosuid option set on /tmp partition (Automated),69,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.1.2.1.4,Ensure noexec option set on /tmp partition (Automated),71,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.1.2.2.1,Ensure /dev/shm is tmpfs or a separate partition (Automated),74,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.1.2.2.2,Ensure nodev option set on /dev/shm partition (Automated),76,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.1.2.2.3,Ensure nosuid option set on /dev/shm partition (Automated),78,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.1.2.2.4,Ensure noexec option set on /dev/shm partition (Automated),80,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.1.2.3.1,Ensure separate partition exists for /home (Automated),83,1,Server:Level 2;Workstation:Level 2,Level 2,Automated,OK,OK,,
1.1.2.3.2,Ensure nodev option set on /home partition (Automated),85,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.1.2.3.3,Ensure nosuid option set on /home partition (Automated),87,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.1.2.4.1,Ensure separate partition exists for /var (Automated),90,1,Server:Level 2;Workstation:Level 2,Level 2,Automated,OK,OK,,
1.1.2.4.2,Ensure nodev option set on /var partition (Automated),92,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.1.2.4.3,Ensure nosuid option set on /var partition (Automated),94,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.1.2.5.1,Ensure separate partition exists for /var/tmp (Automated),97,1,Server:Level 2;Workstation:Level 2,Level 2,Automated,OK,OK,,
1.1.2.5.2,Ensure nodev option set on /var/tmp partition (Automated),99,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.1.2.5.3,Ensure nosuid option set on /var/tmp partition (Automated),101,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.1.2.5.4,Ensure noexec option set on /var/tmp partition (Automated),103,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.1.2.6.1,Ensure separate partition exists for /var/log (Automated),106,1,Server:Level 2;Workstation:Level 2,Level 2,Automated,OK,OK,,
1.1.2.6.2,Ensure nodev option set on /var/log partition (Automated),108,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.1.2.6.3,Ensure nosuid option set on /var/log partition (Automated),110,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.1.2.6.4,Ensure noexec option set on /var/log partition (Automated),112,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.1.2.7.1,Ensure separate partition exists for /var/log/audit (Automated),115,1,Server:Level 2;Workstation:Level 2,Level 2,Automated,OK,OK,,
1.1.2.7.2,Ensure nodev option set on /var/log/audit partition (Automated),117,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.1.2.7.3,Ensure nosuid option set on /var/log/audit partition (Automated),119,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.1.2.7.4,Ensure noexec option set on /var/log/audit partition (Automated),121,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.2.1.1,Ensure the source.list and .source files use the Signed-By option (Manual),125,1,Server:Level 1;Workstation:Level 1,Level 1,Manual,OK,OK,,
1.2.1.2,Ensure weak dependencies are configured (Automated),128,1,Server:Level 2;Workstation:Level 2,Level 2,Automated,OK,OK,,
1.2.1.3,Ensure access to gpg key files are configured (Automated),129,1,Server:Level 1;Server:Level 2,Level 1,Automated,OK,OK,,
1.2.1.4,Ensure access to /etc/apt/trusted.gpg.d directory is configured (Automated),131,1,Server:Level 1;Server:Level 2,Level 1,Automated,OK,OK,,
1.2.1.5,Ensure access to /etc/apt/auth.conf.d directory is configured (Automated),132,1,Server:Level 1;Server:Level 2,Level 1,Automated,OK,OK,,
1.2.1.6,Ensure access to files in the /etc/apt/auth.conf.d/ directory is configured (Automated),133,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.2.1.7,Ensure access to /usr/share/keyrings directory is configured (Automated),135,1,Server:Level 1;Server:Level 2,Level 1,Automated,OK,OK,,
1.2.1.8,Ensure access to /etc/apt/sources.list.d directory is configured (Automated),136,1,Server:Level 1;Server:Level 2,Level 1,Automated,OK,OK,,
1.2.1.9,Ensure access to files in /etc/apt/sources.list.d are configured (Automated),137,1,Server:Level 1;Server:Level 2,Level 1,Automated,OK,OK,,
1.2.2.1,"Ensure updates, patches, and additional security software are installed (Manual)",139,1,Server:Level 1;Workstation:Level 1,Level 1,Manual,OK,OK,,
1.3.1.1,Ensure apparmor packages are installed (Automated),144,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.3.1.2,Ensure AppArmor is enabled (Automated),146,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.3.1.3,Ensure all AppArmor Profiles are enforcing (Automated),148,1,Server:Level 2;Workstation:Level 2,Level 2,Automated,OK,OK,,
1.3.1.4,Ensure apparmor_restrict_unprivileged_unconfined is enabled (Automated),150,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.4.1,Ensure bootloader password is set (Automated),154,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.4.2,Ensure access to bootloader config is configured (Automated),157,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.5.1,Ensure fs.protected_hardlinks is configured (Automated),161,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.5.2,Ensure fs.protected_symlinks is configured (Automated),165,1,Server:Level 2;Workstation:Level 2,Level 2,Automated,OK,OK,,
1.5.3,Ensure kernel.yama.ptrace_scope is configured (Automated),169,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.5.4,Ensure fs.suid_dumpable is configured (Automated),173,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.5.5,Ensure kernel.dmesg_restrict is configured (Automated),177,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.5.6,Ensure prelink is not installed (Automated),181,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.5.7,Ensure Automatic Error Reporting is configured (Automated),182,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.5.8,Ensure kernel.kptr_restrict is configured (Automated),184,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.5.9,Ensure kernel.randomize_va_space is configured (Automated),188,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.5.10,Ensure kernel.yama.ptrace_scope is configured (Automated),192,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.5.11,Ensure core file size is configured (Automated),197,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.5.12,Ensure systemd-coredump ProcessSizeMax is configured (Automated),199,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.5.13,Ensure systemd-coredump Storage is configured (Automated),203,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.6.1,Ensure /etc/motd is configured (Automated),208,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.6.2,Ensure /etc/issue is configured (Automated),212,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.6.3,Ensure /etc/issue.net is configured (Automated),214,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
