id,title,page
1,Account Policies,35
1.1,Password Policy,36
1.1.1,Ensure 'Enforce password history' is set to '24 or more password(s)' (Automated),37
1.1.2,"Ensure 'Maximum password age' is set to '365 or fewer days, but not 0' (Automated) .. 39",
1.1.3,Ensure 'Minimum password age' is set to '1 or more day(s)' (Automated),41
1.1.4,Ensure 'Minimum password length' is set to '14 or more character(s)' (Automated),43
1.1.5,Ensure 'Password must meet complexity requirements' is set to 'Enabled' (Automated)45,
1.1.6,Ensure 'Relax minimum password length limits' is set to 'Enabled' (Automated),48
1.1.7,Ensure 'Store passwords using reversible encryption' is set to 'Disabled' (Automated) . 50,
1.2,Account Lockout Policy,52
1.2.1,Ensure 'Account lockout duration' is set to '15 or more minute(s)' (Automated),53
1.2.2,"Ensure 'Account lockout threshold' is set to '5 or fewer invalid logon attempt(s), but not 0' (Automated)",55
1.2.3,Ensure 'Allow Administrator account lockout' is set to 'Enabled' (MS only) (Manual),57
1.2.4,Ensure 'Reset account lockout counter after' is set to '15 or more minute(s)' (Automated),59
2,Local Policies,61
2.1,Audit Policy,61
2.2,User Rights Assignment,62
2.2.1,Ensure 'Access Credential Manager as a trusted caller' is set to 'No One' (Automated) 63,
2.2.2,"Ensure 'Access this computer from the network' is set to 'Administrators, Authenticated Users, ENTERPRISE DOMAIN CONTROLLERS' (DC only) (Automated)",65
2.2.3,"Ensure 'Access this computer from the network' is set to 'Administrators, Authenticated Users' (MS only) (Automated)",67
2.2.4,Ensure 'Act as part of the operating system' is set to 'No One' (Automated),69
2.2.5,Ensure 'Add workstations to domain' is set to 'Administrators' (DC only) (Automated) .. 71,
2.2.6,"Ensure 'Adjust memory quotas for a process' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE' (Automated)",73
2.2.7,"Ensure 'Allow log on locally' is set to 'Administrators, ENTERPRISE DOMAIN CONTROLLERS' (DC only) (Automated)",75
2.2.8,Ensure 'Allow log on locally' is set to 'Administrators' (MS only) (Automated),77
2.2.9,Ensure 'Allow log on through Remote Desktop Services' is set to 'Administrators' (DC only) (Automated),79
2.2.10,"Ensure 'Allow log on through Remote Desktop Services' is set to 'Administrators, Remote Desktop Users' (MS only) (Automated)",81
2.2.11,Ensure 'Back up files and directories' is set to 'Administrators' (Automated),83
2.2.12,"Ensure 'Change the system time' is set to 'Administrators, LOCAL SERVICE' (Automated)",85
2.2.13,Ensure 'Create a pagefile' is set to 'Administrators' (Automated),88
2.2.14,Ensure 'Create a token object' is set to 'No One' (Automated),90
2.2.15,"Ensure 'Create global objects' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE' (Automated)",92
2.2.16,Ensure 'Create permanent shared objects' is set to 'No One' (Automated),94
2.2.17,Ensure 'Create symbolic links' is set to 'Administrators' (DC only) (Automated),96
2.2.18,"Ensure 'Create symbolic links' is set to 'Administrators, NT VIRTUAL MACHINE\Virtual Machines' (MS only) (Automated)",98
2.2.19,Ensure 'Debug programs' is set to 'Administrators' (Automated),100
2.2.20,Ensure 'Deny access to this computer from the network' to include 'Guests' (DC only) (Automated),102
2.2.21,"Ensure 'Deny access to this computer from the network' to include 'Guests, Local account and member of Administrators group' (MS only) (Automated)",104
2.2.22,Ensure 'Deny log on as a batch job' to include 'Guests' (Automated),106
2.2.23,Ensure 'Deny log on as a service' to include 'Guests' (Automated),108
2.2.24,Ensure 'Deny log on locally' to include 'Guests' (Automated),110
2.2.25,Ensure 'Deny log on through Remote Desktop Services' to include 'Guests' (DC only) (Automated),112
2.2.26,"Ensure 'Deny log on through Remote Desktop Services' is set to 'Guests, Local account' (MS only) (Automated)",114
2.2.27,Ensure 'Enable computer and user accounts to be trusted for delegation' is set to 'Administrators' (DC only) (Automated),116
2.2.28,Ensure 'Enable computer and user accounts to be trusted for delegation' is set to 'No One' (MS only) (Automated),118
2.2.29,Ensure 'Force shutdown from a remote system' is set to 'Administrators' (Automated),120
