"ControlId","Title","Status","ExpectedValue","ActualValue","Notes","Hostname","Timestamp"
"1.1.1","Ensure 'Enforce password history' is set to '24 or more password(s)'","Pass",">= 24","24","","DC01","2026-07-14T10:54:28.1177486-07:00"
"1.1.2","Ensure 'Maximum password age' is set to '365 or fewer days, but not 0'","Pass","1-365","42","","DC01","2026-07-14T10:54:28.1998532-07:00"
"1.1.3","Ensure 'Minimum password age' is set to '1 or more day(s)'","Pass",">= 1","1","","DC01","2026-07-14T10:54:28.2837450-07:00"
"1.1.4","Ensure 'Minimum password length' is set to '14 or more character(s)'","Fail",">= 14","7","","DC01","2026-07-14T10:54:28.3745383-07:00"
"1.1.5","Ensure 'Password must meet complexity requirements' is set to 'Enabled'","Pass","1 (Enabled)","1","","DC01","2026-07-14T10:54:28.4702567-07:00"
"1.1.6","Ensure 'Relax minimum password length limits' is set to 'Enabled' (MS only)","NotApplicable","","","Control marcado (MS only) en el benchmark; este equipo es Domain Controller.","DC01","2026-07-14T10:54:28.5278253-07:00"
"1.1.7","Ensure 'Store passwords using reversible encryption' is set to 'Disabled'","Pass","0 (Disabled)","0","","DC01","2026-07-14T10:54:28.6190536-07:00"
"1.2.1","Ensure 'Account lockout duration' is set to '15 or more minute(s)'","Fail",">= 15","0","","DC01","2026-07-14T10:54:28.7042203-07:00"
"1.2.2","Ensure 'Account lockout threshold' is set to '5 or fewer invalid logon attempt(s), but not 0'","Fail","1-5","0","","DC01","2026-07-14T10:54:28.7905485-07:00"
"1.2.3","Ensure 'Allow Administrator account lockout' is set to 'Enabled' (MS only)","NotApplicable","","","Control marcado (MS only) en el benchmark; este equipo es Domain Controller.","DC01","2026-07-14T10:54:28.8420980-07:00"
"1.2.4","Ensure 'Reset account lockout counter after' is set to '15 or more minute(s)'","Fail",">= 15","0","","DC01","2026-07-14T10:54:28.9315408-07:00"
"2.2.1","Ensure 'Access Credential Manager as a trusted caller' is set to 'No One'","Pass","No One","","","DC01","2026-07-14T10:54:28.9867688-07:00"
"2.2.2","Ensure 'Access this computer from the network' is set to 'Administrators, Authenticated Users, ENTERPRISE DOMAIN CONTROLLERS' (DC only)","Fail","Administrators, Authenticated Users, ENTERPRISE DOMAIN CONTROLLERS","S-1-1-0, S-1-5-11, S-1-5-32-544, S-1-5-32-554, S-1-5-9","","DC01","2026-07-14T10:54:29.0854439-07:00"
"2.2.3","Ensure 'Access this computer from the network' is set to 'Administrators, Authenticated Users' (MS only)","NotApplicable","","","Control marcado (MS only) en el benchmark; este equipo no es MS.","DC01","2026-07-14T10:54:29.1338510-07:00"
"2.2.4","Ensure 'Act as part of the operating system' is set to 'No One'","Pass","No One","","","DC01","2026-07-14T10:54:29.1839228-07:00"
"2.2.5","Ensure 'Add workstations to domain' is set to 'Administrators' (DC only)","Fail","Administrators","S-1-5-11","","DC01","2026-07-14T10:54:29.2899390-07:00"
"2.2.6","Ensure 'Adjust memory quotas for a process' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE'","Pass","Administrators, LOCAL SERVICE, NETWORK SERVICE","S-1-5-19, S-1-5-20, S-1-5-32-544","","DC01","2026-07-14T10:54:29.3428652-07:00"
"2.2.7","Ensure 'Allow log on locally' is set to 'Administrators, ENTERPRISE DOMAIN CONTROLLERS' (DC only)","Fail","Administrators, ENTERPRISE DOMAIN CONTROLLERS","S-1-5-32-544, S-1-5-32-548, S-1-5-32-549, S-1-5-32-550, S-1-5-32-551, S-1-5-9","","DC01","2026-07-14T10:54:29.4472083-07:00"
"2.2.8","Ensure 'Allow log on locally' is set to 'Administrators' (MS only)","NotApplicable","","","Control marcado (MS only) en el benchmark; este equipo no es MS.","DC01","2026-07-14T10:54:29.5013422-07:00"
"2.2.9","Ensure 'Allow log on through Remote Desktop Services' is set to 'Administrators' (DC only)","Pass","Administrators","S-1-5-32-544","","DC01","2026-07-14T10:54:29.6051183-07:00"
"2.2.10","Ensure 'Allow log on through Remote Desktop Services' is set to 'Administrators, Remote Desktop Users' (MS only)","NotApplicable","","","Control marcado (MS only) en el benchmark; este equipo no es MS.","DC01","2026-07-14T10:54:29.6562588-07:00"
"2.2.11","Ensure 'Back up files and directories' is set to 'Administrators'","Fail","Administrators","S-1-5-32-544, S-1-5-32-549, S-1-5-32-551","","DC01","2026-07-14T10:54:29.7089173-07:00"
"2.2.12","Ensure 'Change the system time' is set to 'Administrators, LOCAL SERVICE'","Fail","Administrators, LOCAL SERVICE","S-1-5-19, S-1-5-32-544, S-1-5-32-549","","DC01","2026-07-14T10:54:29.7608781-07:00"
"2.2.13","Ensure 'Create a pagefile' is set to 'Administrators'","Pass","Administrators","S-1-5-32-544","","DC01","2026-07-14T10:54:29.8144040-07:00"
"2.2.14","Ensure 'Create a token object' is set to 'No One'","Pass","No One","","","DC01","2026-07-14T10:54:29.8606218-07:00"
"2.2.15","Ensure 'Create global objects' is set to 'Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE'","Pass","Administrators, LOCAL SERVICE, NETWORK SERVICE, SERVICE","S-1-5-19, S-1-5-20, S-1-5-32-544, S-1-5-6","","DC01","2026-07-14T10:54:29.9103359-07:00"
