control_id,title,page,chapter,profile_scope,status_impl,status_tested,status_validated,notes
1.1.1,Ensure 'Enforce password history' is set to '24 or more password(s)' (Automated),37,1,All,OK,,,Implementado en CISHarden/Private/Chapter1-AccountPolicies.ps1; pendiente correr Pester (Tests/Chapter1.Tests.ps1) y validar en server de lab.
1.1.2,"Ensure 'Maximum password age' is set to '365 or fewer days, but not 0' (Automated) .. 39",,1,All,OK,,,Implementado en CISHarden/Private/Chapter1-AccountPolicies.ps1; pendiente correr Pester (Tests/Chapter1.Tests.ps1) y validar en server de lab.
1.1.3,Ensure 'Minimum password age' is set to '1 or more day(s)' (Automated),41,1,All,OK,,,Implementado en CISHarden/Private/Chapter1-AccountPolicies.ps1; pendiente correr Pester (Tests/Chapter1.Tests.ps1) y validar en server de lab.
1.1.4,Ensure 'Minimum password length' is set to '14 or more character(s)' (Automated),43,1,All,OK,,,"Implementado en CISHarden/Private/Chapter1-AccountPolicies.ps1 (Test-CIS_1_1_4/Set-CIS_1_1_4); faltaba en el CSV por bug de parseo (form-feed de salto de pagina), corregido. Pendiente correr Pester y validar en server de lab."
1.1.5,Ensure 'Password must meet complexity requirements' is set to 'Enabled' (Automated)45,,1,All,OK,,,Implementado en CISHarden/Private/Chapter1-AccountPolicies.ps1; pendiente correr Pester (Tests/Chapter1.Tests.ps1) y validar en server de lab.
1.1.6,Ensure 'Relax minimum password length limits' is set to 'Enabled' (Automated),48,1,All,OK,,,Implementado en CISHarden/Private/Chapter1-AccountPolicies.ps1; pendiente correr Pester (Tests/Chapter1.Tests.ps1) y validar en server de lab.
1.1.7,Ensure 'Store passwords using reversible encryption' is set to 'Disabled' (Automated) . 50,,1,All,OK,,,Implementado en CISHarden/Private/Chapter1-AccountPolicies.ps1; pendiente correr Pester (Tests/Chapter1.Tests.ps1) y validar en server de lab.
1.2.1,Ensure 'Account lockout duration' is set to '15 or more minute(s)' (Automated),53,1,All,OK,,,Implementado en CISHarden/Private/Chapter1-AccountPolicies.ps1; pendiente correr Pester (Tests/Chapter1.Tests.ps1) y validar en server de lab.
1.2.2,"Ensure 'Account lockout threshold' is set to '5 or fewer invalid logon attempt(s), but not 0' (Automated)",55,1,All,OK,,,Implementado en CISHarden/Private/Chapter1-AccountPolicies.ps1; pendiente correr Pester (Tests/Chapter1.Tests.ps1) y validar en server de lab.
1.2.3,Ensure 'Allow Administrator account lockout' is set to 'Enabled' (MS only) (Manual),57,1,MS only,OK,,,Implementado en CISHarden/Private/Chapter1-AccountPolicies.ps1; pendiente correr Pester (Tests/Chapter1.Tests.ps1) y validar en server de lab.
1.2.4,Ensure 'Reset account lockout counter after' is set to '15 or more minute(s)' (Automated),59,1,All,OK,,,Implementado en CISHarden/Private/Chapter1-AccountPolicies.ps1; pendiente correr Pester (Tests/Chapter1.Tests.ps1) y validar en server de lab.
2.2.1,Ensure 'Access Credential Manager as a trusted caller' is set to 'No One' (Automated) 63,,2,All,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
2.2.2,"Ensure 'Access this computer from the network' is set to 'Administrators, Authenticated Users, ENTERPRISE DOMAIN CONTROLLERS' (DC only) (Automated)",65,2,DC only,OK,,,Implementado en CISHarden/Private/UserRightsEngine.ps1 + Chapter2-UserRightsAssignment.ps1; pendiente correr Pester y validar en server de lab.
